caldt,sprtrn
01/29/2003,0.006779
01/30/2003,-0.022849
01/31/2003,0.013130
02/03/2003,0.005399
02/04/2003,-0.014088
02/05/2003,-0.005435
02/06/2003,-0.006449
02/07/2003,-0.010094
02/10/2003,0.007569
02/11/2003,-0.008098
02/12/2003,-0.012687
02/13/2003,-0.001600
02/14/2003,0.021435
02/18/2003,0.019500
02/19/2003,-0.007096
02/20/2003,-0.009501
02/21/2003,0.013224
02/24/2003,-0.018381
02/25/2003,0.007195
02/26/2003,-0.013141
02/27/2003,0.011758
02/28/2003,0.004622
03/03/2003,-0.007537
03/04/2003,-0.015357
03/05/2003,0.009562
03/06/2003,-0.009339
03/07/2003,0.008259
03/10/2003,-0.025830
03/11/2003,-0.008359
03/12/2003,0.004321
03/13/2003,0.034457
03/14/2003,0.001647
03/17/2003,0.035427
03/18/2003,0.004242
03/19/2003,0.008737
03/20/2003,0.001888
03/21/2003,0.022977
03/24/2003,-0.035231
03/25/2003,0.012161
03/26/2003,-0.005476
03/27/2003,-0.001644
03/28/2003,-0.005780
03/31/2003,-0.017742
04/01/2003,0.012144
04/02/2003,0.026116
04/03/2003,-0.005052
04/04/2003,0.002738
04/07/2003,0.001229
04/08/2003,-0.001864
04/09/2003,-0.014004
04/10/2003,0.006455
04/11/2003,-0.003763
04/14/2003,0.019498
04/15/2003,0.006303
04/16/2003,-0.012236
04/17/2003,0.015536
04/21/2003,-0.001757
04/22/2003,0.021704
04/23/2003,0.008394
04/24/2003,-0.008259
04/25/2003,-0.013846
04/28/2003,0.017835
04/29/2003,0.003279
04/30/2003,-0.001002
05/01/2003,-0.000676
05/02/2003,0.015039
05/05/2003,-0.003795
05/06/2003,0.008461
05/07/2003,-0.005105
05/08/2003,-0.010058
05/09/2003,0.014278
05/12/2003,0.012535
05/13/2003,-0.002973
05/14/2003,-0.003205
05/15/2003,0.007868
05/16/2003,-0.002504
05/19/2003,-0.024918
05/20/2003,-0.001129
05/21/2003,0.004012
05/22/2003,0.009151
05/23/2003,0.001449
05/27/2003,0.019567
05/28/2003,0.001829
05/29/2003,-0.003756
05/30/2003,0.014690
06/02/2003,0.003539
06/03/2003,0.004716
06/04/2003,0.015110
06/05/2003,0.003954
06/06/2003,-0.002404
06/09/2003,-0.011977
06/10/2003,0.009130
06/11/2003,0.012835
06/12/2003,0.001033
06/13/2003,-0.009915
06/16/2003,0.022385
06/17/2003,0.000910
06/18/2003,-0.001552
06/19/2003,-0.015236
06/20/2003,0.000995
