temp,year,week,hour
12,2013,3,17
13,2013,3,18
15,2013,3,19
15,2013,3,20
16,2013,3,21
14,2013,3,22
12,2013,3,23
10,2013,3,0
8,2013,3,1
6,2013,3,2
5,2013,3,3
4,2013,3,4
3,2013,3,5
4,2013,3,6
5,2013,3,7
5,2013,3,8
4,2013,3,9
4,2013,3,10
4,2013,3,11
2,2013,3,12
0,2013,3,13
3,2013,3,14
7,2013,3,15
10,2013,3,16
12,2013,3,17
12,2013,3,18
12,2013,3,19
12,2013,3,20
12,2013,3,21
11,2013,3,22
9,2013,3,23
7,2013,3,0
6,2013,3,1
5,2013,3,2
4,2013,3,3
3,2013,3,4
2,2013,3,5
0,2013,3,6
-1,2013,3,7
-1,2013,3,8
-1,2013,3,9
-1,2013,3,10
-1,2013,3,11
-1,2013,3,12
-2,2013,3,13
0,2013,3,14
0,2013,3,15
1,2013,3,16
2,2013,3,17
4,2013,3,18
4,2013,3,19
5,2013,3,20
6,2013,3,21
5,2013,3,22
4,2013,3,23
2,2013,3,0
1,2013,3,1
1,2013,3,2
0,2013,3,3
0,2013,3,4
0,2013,3,5
-1,2013,3,6
-1,2013,3,7
-1,2013,3,8
-1,2013,3,9
-1,2013,3,10
-1,2013,3,11
-1,2013,3,12
-1,2013,3,13
0,2013,3,14
1,2013,3,15
4,2013,3,16
6,2013,3,17
8,2013,3,18
9,2013,3,19
11,2013,3,20
11,2013,3,21
11,2013,3,22
10,2013,3,23
9,2013,3,0
9,2013,3,1
9,2013,3,2
9,2013,3,3
9,2013,3,4
9,2013,3,5
9,2013,3,6
9,2013,3,7
9,2013,3,8
9,2013,3,9
8,2013,3,10
8,2013,3,11
8,2013,3,12
8,2013,3,13
8,2013,3,14
8,2013,3,15
9,2013,3,16
10,2013,3,17
10,2013,3,18
10,2013,3,19
10,2013,3,20
9,2013,3,21
8,2013,3,22
6,2013,3,23
5,2013,3,0
3,2013,3,1
2,2013,3,2
2,2013,3,3
1,2013,3,4
2,2013,3,5
2,2013,3,6
2,2013,3,7
1,2013,3,8
1,2013,3,9
0,2013,3,10
0,2013,3,11
0,2013,3,12
0,2013,3,13
0,2013,3,14
0,2013,3,15
0,2013,3,16
5,2013,3,17
3,2013,3,18
10,2013,3,19
10,2013,3,20
7,2013,3,21
9,2013,3,22
8,2013,3,23
7,2013,3,0
5,2013,3,1
4,2013,3,2
4,2013,3,3
3,2013,3,4
2,2013,3,5
3,2013,3,6
3,2013,3,7
3,2013,3,8
3,2013,3,9
2,2013,3,10
3,2013,3,11
3,2013,3,12
3,2013,3,13
3,2013,3,14
4,2013,3,15
6,2013,3,16
8,2013,3,17
10,2013,3,18
12,2013,3,19
12,2013,3,20
12,2013,3,21
11,2013,3,22
9,2013,3,23
7,2013,4,0
6,2013,4,1
5,2013,4,2
4,2013,4,3
4,2013,4,4
4,2013,4,5
4,2013,4,6
4,2013,4,7
4,2013,4,8
4,2013,4,9
4,2013,4,10
4,2013,4,11
4,2013,4,12
4,2013,4,13
4,2013,4,14
5,2013,4,15
6,2013,4,16
8,2013,4,17
9,2013,4,18
10,2013,4,19
10,2013,4,20
10,2013,4,21
11,2013,4,22
9,2013,4,23
8,2013,4,0
10,2013,4,1
7,2013,4,2
7,2013,4,3
8,2013,4,4
7,2013,4,5
6,2013,4,6
8,2013,4,7
10,2013,4,8
9,2013,4,9
12,2013,4,10
12,2013,4,11
12,2013,4,12
12,2013,4,13
12,2013,4,14
14,2013,4,15
14,2013,4,16
15,2013,4,17
17,2013,4,18
18,2013,4,19
20,2013,4,20
19,2013,4,21
21,2013,4,22
21,2013,4,23
20,2013,4,0
20,2013,4,1
19,2013,4,2
19,2013,4,3
18,2013,4,4
18,2013,4,5
10,2013,4,6
7,2013,4,7
7,2013,4,8
7,2013,4,9
7,2013,4,10
7,2013,4,11
8,2013,4,12
9,2013,4,13
10,2013,4,14
12,2013,4,15
15,2013,4,16
17,2013,4,17
17,2013,4,18
17,2013,4,19
17,2013,4,20
17,2013,4,21
17,2013,4,22
20,2013,4,23
19,2013,4,0
18,2013,4,1
18,2013,4,2
17,2013,4,3
18,2013,4,4
18,2013,4,5
18,2013,4,6
18,2013,4,7
18,2013,4,8
18,2013,4,9
18,2013,4,10
18,2013,4,11
18,2013,4,12
19,2013,4,13
18,2013,4,14
18,2013,4,15
19,2013,4,16
20,2013,4,17
18,2013,4,18
16,2013,4,19
16,2013,4,20
15,2013,4,21
12,2013,4,22
10,2013,4,23
9,2013,4,0
9,2013,4,1
8,2013,4,2
8,2013,4,3
6,2013,4,4
5,2013,4,5
5,2013,4,6
6,2013,4,7
6,2013,4,8
6,2013,4,9
6,2013,4,10
6,2013,4,11
1,2013,4,12
1,2013,4,13
1,2013,4,14
5,2013,4,15
6,2013,4,16
5,2013,4,17
7,2013,4,18
7,2013,4,19
7,2013,4,20
8,2013,4,21
8,2013,4,22
7,2013,4,23
5,2013,4,0
5,2013,4,1
5,2013,4,2
5,2013,4,3
4,2013,4,4
5,2013,4,5
5,2013,4,6
5,2013,4,7
5,2013,4,8
2,2013,4,9
0,2013,4,10
0,2013,4,11
-1,2013,4,12
-1,2013,4,13
-1,2013,4,14
1,2013,4,15
1,2013,4,16
1,2013,4,17
2,2013,4,18
6,2013,4,19
7,2013,4,20
6,2013,4,21
4,2013,4,22
-1,2013,4,23
-2,2013,4,0
-2,2013,4,1
-2,2013,4,2
-2,2013,4,3
-2,2013,4,4
-2,2013,4,5
-2,2013,4,6
-2,2013,4,7
-1,2013,4,8
-1,2013,4,9
-1,2013,4,10
-1,2013,4,11
3,2013,4,12
4,2013,4,13
4,2013,4,14
9,2013,4,15
6,2013,4,16
7,2013,4,17
8,2013,4,18
9,2013,4,19
10,2013,4,20
10,2013,4,21
10,2013,4,22
8,2013,4,23
6,2013,5,0
5,2013,5,1
5,2013,5,2
5,2013,5,3
1,2013,5,4
1,2013,5,5
1,2013,5,6
1,2013,5,7
3,2013,5,8
3,2013,5,9
3,2013,5,10
3,2013,5,11
6,2013,5,12
6,2013,5,13
5,2013,5,14
7,2013,5,15
8,2013,5,16
10,2013,5,17
12,2013,5,18
12,2013,5,19
12,2013,5,20
12,2013,5,21
12,2013,5,22
10,2013,5,23
